driving,1637
one,3102
way,1821
get,3802
around,710
people,6139
always,641
phones,1566
it,1045
cause,660
serious,94
problems,419
fine,44
use,1666
also,3103
best,810
come,467
help,3848
drivers,418
used,367
phone,1138
operating,80
vehicle,222
likely,399
accident,243
could,3612
fatal,34
within,90
capable,44
traveling,61
upwards,1
hundred,23
miles,48
per,27
hour,45
possible,269
distraction,162
become,501
spontaneouslycause,1
collisionsslow,1
reaction,29
time,2693
injuries,55
first,934
reason,2363
cell,1174
allowed,283
high,281
chances,71
collisions,4
happening,64
second,397
operate,31
slow,32
last,337
drive,494
using,675
cellphone,51
might,1260
long,349
term,20
short,30
affects,25
diving,7
detail,26
texting,430
hazardous,13
life,1119
threatening,11
cost,149
worth,101
text,345
message,21
snapchat,2
instagram,2
dm,1
direct,88
luckily,4
government,74
enforced,12
brand,6
new,1320
law,150
called,117
hands,205
free,585
lead,315
accidents,431
altercations,1
addition,139
would,6549
even,1569
licences,3
detrimental,15
outcome,181
death,74
leading,54
motor,28
another,1384
consequence,13
license,21
taken,224
consequences,60
attention,362
hazzard,2
hand,143
illegal,83
dangerous,405
without,482
lower,139
fatality,5
rates,27
lotapps,1
programs,45
go,1344
freefirst,1
foremost,25
generally,11
distracted,326
accidentsfinally,1
various,67
things,1378
put,457
place,436
keep,678
driver,502
getting,775
phonesdriving,1
exceedingly,3
difficult,189
focus,384
surroundings,24
us,1147
easy,243
forget,105
sharing,17
road,458
yourself,61
everyday,176
die,40
car,2345
according,108
research,112
number,185
hundreds,25
indicate,13
prospect,30
leads,74
loss,28
livesone,1
major,186
issue,196
concerns,28
risk,217
navigate,14
bends,1
respond,20
potential,104
hazards,8
talking,218
involves,16
act,66
conversation,16
concentration,23
cognitive,8
processing,4
ultimately,23
accidentcase,1
mischances,1
point,486
ought,14
precluded,1
utilizinginvestigations,1
recommend,7
whereas,6
viably,1
like,2546
impededcause,1
accidentsneed,1
gps,22
know,1711
audio80%,1
admit,10
paying,84
blatantly,2
behaviors,2
listed,8
activities,903
interacting,27
however,197
safe,389
assume,13
many,2286
admitted,6
doing,68
top,50
five,66
causes,154
deaths,65
yet,103
states,1088
laws,175
cellphones,48
brain,60
washing,1
think,2101
need,1781
