news,12
always,932
updated,12
people,6397
something,1238
stupid,24
around,607
involves,3
phones,1022
safest,21
way,2153
best,1463
stay,402
safe,551
conclusion,1817
drivers,331
able,1472
work,1478
vehicle,168
using,542
cell,768
phone,860
uses,42
operating,81
likely,265
accident,142
don,38
t,416
creation,34
telecommunication,1
devices,67
keep,777
connected,25
others,1022
without,562
regard,3
obsession,1
would,5631
encompass,1
human,449
mind,238
bound,13
follow,113
safety,340
top,50
priority,32
exemption,1
use,1501
cellphones,32
cause,509
life,1882
changing,210
accidents,304
serious,81
problems,498
also,2083
hurt,152
financially,13
causing,70
pay,177
uneventful,1
occurrences,2
things,1535
prevent,172
turn,154
put,580
do,469
disturb,10
mode,16
deal,104
starting,38
car,1992
driving,1434
one,2943
solution,155
passenger,10
relay,2
message,47
distracted,168
tempted,9
pick,242
texting,252
dangerous,330
killed,27
many,2720
decline,8
thanks,43
new,1483
hands,144
down,61
law,97
capacity,27
motor,28
altercations,2
suspension,1
license,23
even,1538
death,80
prevention,5
simply,140
take,1541
moment,40
focus,230
road,417
check,42
reach,79
red,20
light,27
complete,223
stop,331
step,138
closer,82
save,334
lives,557
own,93
drive,484
likelihood,4
getting,786
possibly,157
fatal,22
decrease,101
lot,867
ways,687
distraction,73
like,2136
apps,6
programs,61
block,7
calls,33
texts,18
importantly,50
driver,292
personally,92
keeping,140
accountable,11
actions,57
fact,225
slower,7
reaction,16
time,2477
attention,228
objects,12
cars,2778
damage,36
someone,914
s,1986
problem,449
today,334
24,7
7,14
usually,52
point,386
long,473
banned,39
lose,105
circumstances,37
required,220
his,22
her,41
means,143
text,270
end,564
else,272
free,451
accessories,1
could,2825
make,3667
open,158
roads,165
little,296
safer,279
everybody,135
allowing,202
important,876
remember,199
matter,339
laws,151
place,485
still,830
continue,271
abuse,13
accadences,1
happen,317
comes,251
individual,97
properly,37
educated,74
whether,253
mentaly,1
handle,82
responsibility,118
stricker,1
consequences,82
simple,139
tragic,5
occur,60
teens,65
reckless,14
anyone,193
act,68
young,112
responsibly,14
get,2974
fee,1
taken,201
issues,179
wise,66
decision,944
negatively,18
affect,139
everyone,928
involved,160
physically,55
mentally,36
big,369
easily,130
avoided,16
tend,41
anyways,22
fine,81
caught,41
police,25
officer,2
suspended,5
aware,93
consciences,1
caused,81
petty,3
action,314
1,174
ton,14
pure,9
machinery,2
60,11
miles,39
per,11
hour,22
blindfolded,2
ever,317
used,431
person,1363
type,126
situation,373
