certain,1334
areas,403
united,1193
states,6209
ban,691
phones,2949
class,5469
rooms,39
it,5228
people,21619
know,7620
apps,79
like,12342
facebook,37
twitter,18
instagram,33
snapchat,28
friend,2306
moves,37
away,2112
want,7270
contact,273
still,3347
posting,14
videos,176
text,1937
messages,103
always,3306
different,4286
ways,1235
communicate,313
phone,4030
changed,301
due,1827
generation,154
that,3027
s,10070
there,1226
thing,3085
called,742
texting,1475
driving,6169
really,4001
important,2300
remember,367
think,6252
stupid,125
matter,889
obey,19
way,6583
save,616
sometimes,2063
news,171
either,880
accident,1116
suicide,65
might,5037
involve,85
someone,4729
looking,887
they,1642
re,1129
going,5265
tweet,4
sent,354
injury,105
death,281
mysterious,27
number,1017
says,2337
i,1615
m,1010
kill,185
live,1049
person,6020
makes,1735
puzzled,7
make,10009
start,1346
freak,21
out,856
end,1644
badly,58
go,7171
problem,2176
can,1892
t,2246
find,2263
help,10835
you,2038
even,8891
though,1315
used,1555
almost,1157
every,2641
day,4746
long,1776
safe,1147
would,23438
come,2151
use,4786
get,14462
trouble,919
sure,1589
middle,630
according,1137
article,1842
edgar,17
snyder,21
firm,16
21%,5
teens,501
part,1081
fatal,121
car,11573
35%,14
risk,590
continue,490
using,2023
road,2078
shows,1346
beyond,171
dangerous,842
irresponsible,42
drivers,1848
fully,374
aware,349
surroundings,189
able,5800
concentrate,115
without,2613
distractions,435
could,14265
another,3564
distracted,917
nhtsa,27
already,1588
3,1634
000,641
related,232
deaths,223
since,2096
2017,50
teen,186
causes,472
accidents,1333
easily,664
avoided,112
focusing,269
common,672
cell,2277
capabilities,37
connect,117
us,3537
anyone,819
also,11531
ownership,113
one,12218
easy,942
pick,1308
whenever,269
sounds,184
split,63
second,957
reaching,60
eyes,700
longer,512
impossible,206
exact,164
location,115
anything,1728
making,2784
extremely,359
action,517
myriad,4
possibilities,85
lead,1199
serious,318
stay,1484
current,197
state,3054
regards,22
law,548
taken,962
offense,42
vehicle,944
collisions,30
happen,1558
driver,3100
influence,211
alcohol,52
drives,140
spend,956
time,11453
causing,387
poor,180
following,233
ability,654
lateral,1
lane,51
control,1190
cause,2253
lose,623
concentration,62
hinder,26
rational,16
decisions,529
stated,775
before,470
examples,272
reaction,180
measure,16
quickly,236
organism,4
respond,160
particular,150
stimulus,3
spending,228
finally,357
look,2171
see,5092
late,553
times,2124
activity,1771
two,2118
seconds,162
cellphone,128
least,797
three,987
four,528
top,275
likely,1958
miss,578
flashing,65
light,345
altogether,32
cellphones,137
effects,175
nervous,114
system,2867
affects,112
physical,385
emotional,281
psychological,36
effect,495
whiplash,3
caused,612
sudden,68
movement,191
neck,13
usually,701
rear,79
automobile,89
anxiety,405
difficulties,61
situations,477
involving,78
last,1022
ptsd,11
results,291
traumatic,10
experience,1463
affect,377
function,129
normally,191
goes,1072
show,1468
wide,129
range,115
symptoms,13
including,447
anger,289
fear,346
shock,13
nervousness,4
feeling,1081
mistrust,1
guilt,19
imagine,634
house,1091
shoots,2
5,743
swerve,30
next,1403
hitting,73
many,7608
scenarios,38
wrong,1691
situation,1629
life,4573
wait,388
consequences,225
comes,995
worth,395
lives,988
recent,170
read,776
said,2753
u,719
statistics,130
2012,171
328,7
killed,213
distraction,406
crashes,494
421,7
injured,340
11%,2
age,530
20,205
involved,452
reported,83
crash,508
cannot,741
must,948
something,5851
stop,1213
numbers,156
increasing,134
hand,754
touching,32
body,403
talking,1090
follow,513
laws,672
fine,654
fifty,100
hundred,233
dollars,260
feel,3349
necessary,294
justified,10
better,5845
protect,76
society,414
altercations,5
passengers,189
bodily,10
injuries,184
harm,242
anywhere,213
mild,6
critical,77
condition,93
motor,175
group,991
conditions,970
example,5375
prone,50
damaging,21
building,246
