modern,90
humans,264
today,486
always,477
phone,653
5,26
hours,114
day,671
stop,104
all,135
text,150
back,251
forward,60
group,94
chats,5
social,111
media,61
even,924
driving,1101
ability,90
stay,188
connected,11
people,3969
know,930
despite,99
distance,522
originally,7
brought,37
fruition,1
use,940
letters,10
system,736
found,155
rather,157
slow,16
new,954
pathways,2
searched,1
invention,66
telegram,1
thought,305
millennia,1
time,1389
telephone,8
hand,105
pocket,6
majority,163
seven,21
billion,10
planet,504
earthpeople,1
debating,20
whether,447
drivers,179
cell,851
phones,979
operating,77
vehicle,167
think,1294
using,376
allowed,117
try,138
multi,4
tasking,1
important,395
calls,26
addicted,7
can,225
t,272
says,121
able,627
cause,205
accidents,220
half,59
s,1480
society,277
horrible,24
habit,12
texting,224
immediately,10
puts,23
lives,269
risk,91
simple,97
act,37
caused,89
many,2358
fatalities,13
last,127
years,464
fortunately,4
government,63
put,203
law,42
deal,59
problem,286
generations,28
drivingdevice,1
could,1141
overly,4
dangerous,214
choice,340
life,801
around,547
world,839
injured,23
situation,192
every,522
although,292
quite,82
become,370
key,58
part,231
anything,150
as,50
schedule,61
planning,38
etc,92
unfortunately,44
choosing,76
wrong,220
place,327
going,673
by,34
getting,322
care,118
personal,80
safety,105
others,566
presented,21
within,54
united,349
states,479
showcase,3
decade,19
1980,8
utilization,2
right,447
away,217
developed,59
amid,3
following,36
two,293
decades,58
slant,1
utilizing,4
expanded,9
one,2074
essential,35
reasons,216
tremendous,7
development,62
encourage,18
communication,63
advertising,2
tall,4
levels,16
adaptability,1
coming,237
craved,1
individuals,57
inside,36
seconds,26
he,32
she,22
office,57
domestic,1
exterior,1
car,1251
making,501
coordinate,1
contact,20
successfully,3
without,288
wastage,1
another,240
fundamental,6
reason,164
hazardous,11
security,3
viewpoint,3
make,1090
crisis,8
indeed,14
drivingtyping,1
opinion,352
backing,5
up,106
also,753
save,40
distracted,104
increased,25
crashing,13
crashes,64
affect,69
crasher,1
possible,137
victims,2
everything,179
physical,41
pain,12
emotional,83
well,653
financial,4
felt,56
crash,38
3,81
287,1
deaths,37
happen,147
due,230
fatal,20
average,197
9,32
related,47
inability,3
test,66
believed,30
recorded,11
number,100
incidents,5
greatly,34
under,8
boom,13
i,401
75,2
ground,19
bleeding,1
watching,32
everyone,445
surrounding,13
you,269
calling,24
911,2
point,245
thinking,148
yourself,49
why,61
freak,3
couple,39
later,53
adult,21
wreck,12
happened,51
selfish,4
thing,505
putting,45
other,40
danger,66
send,35
stupid,18
girl,31
boyfriend,4
completely,80
selfishlook,1
see,431
ages,15
staring,17
device,72
stuck,64
seems,163
never,212
let,157
go,848
while,18
working,157
at,23
school,3188
cleaning,13
and,96
things,663
irresponsible,4
get,1195
fee,2
imagine,280
waking,36
call,116
middle,56
night,64
saying,96
lost,64
loved,23
accident,70
decided,150
increases,14
23,3
2,135
times,262
compared,24
unimpaired,1
sobering,2
statistic,2
provided,31
virginia,6
tech,16
transportation,187
institute,10
2018,7
long,359
talking,158
internet,105
surfing,16
sometimes,343
focused,50
much,444
willing,32
throughout,143
teenagers,53
eager,6
turn,91
16,13
nerve,1
wrecking,1
exciting,37
experience,140
good,782
upside,3
would,2002
places,128
pay,47
period,54
desire,12
though,246
side,84
bad,317
large,69
amount,125
cautious,5
surroundings,14
taken,121
this,170
age,103
technological,63
advancement,41
mankind,10
quickly,37
adapted,8
devices,92
cellphones,71
gotten,37
constantly,57
do,358
qualities,7
cellphone,38
seem,176
keep,360
attention,159
on,110
causes,55
problems,167
ever,718
behind,117
someone,520
light,42
green,21
almost,179
hit,29
looking,136
according,99
national,25
council,73
reports,12
leads,36
1,218
6,57
million,53
year,509
390,7
000,37
injuries,21
occurred,6
nearly,40
pedestrians,12
killed,20
extremely,70
common,124
that,306
driven,41
done,169
it,646
lot,418
obviously,19
technology,1084
drastically,14
days,167
rely,38
surely,15
eyes,77
least,220
minute,15
look,281
walking,64
eating,15
dinner,11
table,17
class,420
supposed,34
learning,1289
main,77
occurring,7
automobile,36
brings,34
question,245
capacity,29
banned,30
tend,97
listen,43
still,386
drivingtoday,3
controversial,38
conversations,7
may,887
used,357
certain,169
gps,18
emergency,29
uses,50
believe,457
violations,1
cars,2074
mobile,35
nothing,90
grow,45
ceasing,2
however,523
cellular,37
driver,160
paying,35
veer,1
road,176
innocent,6
bystanding,1
helps,97
earth,373
need,706
lead,121
apps,4
simply,81
hear,108
directionscell,1
operation,6
mix,4
play,175
huge,102
want,825
take,769
pictures,75
continue,244
depend,25
needs,143
useful,81
especially,104
invented,30
shockingly,1
low,15
numbers,11
six,36
likely,112
intoxicated,2
becoming,135
addiction,9
made,432
illegal,23
conducting,6
created,299
laws,46
ban,26
handheld,8
usage,191
leading,45
easily,53
decreasing,12
awareness,12
accidentstexting,1
something,695
okay,40
feel,376
safe,147
since,305
entered,7
person,860
everyday,289
impact,67
fields,2
work,763
surprise,28
wherever,15
inclusion,2
proven,37
result,70
exactly,65
comes,190
previously,14
mentioned,6
involvement,2
often,246
tends,9
follow,37
chances,22
increase,44
claim,47
nowadays,62
live,165
us,602
excited,27
wait,39
answer,150
hotly,1
debated,31
topic,190
divides,1
goes,97
issues,91
facing,16
essay,70
takes,108
sides,41
argument,60
near,65
distraction,55
consequences,32
caught,32
but,147
factor,30
like,1502
event,14
daily,179
basis,73
said,352
records,1
death,37
or,55
injury,7
happening,36
else,155
there,165
way,1097
fully,43
different,604
opinions,396
subject,103
explaining,26
operate,54
big,246
concern,29
serve,37
purposes,13
communicating,14
playing,68
games,62
based,114
features,21
dramatically,12
owns,13
ways,331
communicate,49
progress,29
cannot,69
function,6
positive,117
brain,41
task,59
highly,32
dangerouscell,2
took,79
toll,6
definitely,26
drivingpeople,2
epidemic,4
primarily,8
involving,15
teens,66
growing,64
hands,65
free,199
25%,3
involve,8
already,146
drive,359
phonecomes,1
reading,99
prohibited,3
reliable,21
resource,8
improve,63
top,32
ten,42
accidentspermitted,1
devicetoday,1
debate,129
unwanted,3
feeling,171
endtexting,1
worrying,10
trends,5
adults,55
chance,111
involved,52
concerns,11
raised,6
various,61
authorities,1
trying,226
prevent,42
occurrence,2
enacted,3
assuming,3
carphones,1
role,46
keeping,80
touch,29
accomplishing,4
goals,21
reminders,5
complex,22
requires,25
full,73
undivided,2
reality,92
exception,8
situations,83
exceptions,2
include,29
emergencies,5
family,185
efficiently,11
effectively,5
unfamiliar,8
destinations,4
agendas,1
set,70
accomplish,21
really,565
so,130
lose,44
job,113
girlfriend,1
interview,3
better,562
lover,2
yours,12
change,312
lap,2
chest,4
47,1
stopped,18
line,18
too,72
next,219
late,46
feelings,45
ex,2
blasting,3
marvin,1
room,53
jungle,1
drake,2
remember,58
walk,78
worse,42
deceased,1
effect,47
profession,1
2017,7
434,1
facts,44
statistics,22
advanced,95
popular,404
hard,258
enough,135
10,23
difficult,141
changing,168
song,9
answering,11
split,9
second,118
distracts,3
taking,272
somethingell,1
hot,27
button,16
moment,51
message,27
curiosity,15
best,416
looktexting,1
unsafe,8
might,433
control,93
the,246
tendency,4
current,42
trend,25
behavior,7
among,42
series,4
debates,10
risks,36
come,370
cells,5
aspects,77
means,141
motor,31
them,342
spent,22
livescar,1
increasing,25
uproar,3
action,306
causing,53
2013,10
314,1
messagescell,1
tool,35
widely,28
entertainment,14
information,203
distracting,18
mishaps,1
lots,58
machinery,5
automotives,2
occurringdriving,1
end,176
horrific,3
young,71
killer,2
major,101
issue,131
shown,38
example,160
billboards,2
everywhere,71
commercials,3
same,26
tempting,5
thousands,29
passengers,13
swerve,4
lane,5
notice,22
notification,7
helpful,135
harmful,20
introduced,31
market,11
instantly,11
grew,8
die,50
research,94
factors,50
studies,81
show,132
four,78
greater,50
crush,10
available,39
moreover,13
arguments,42
necessary,49
situationstoday,1
called,292
effected,4
vehicles,79
`as,1
separate,9
talk,295
int,1
ernet,1
theset,1
hings,1
ime,2
music,31
yell,4
