really,267
bad,267
consequences,20
stuff,20
happens,17
comes,66
phone,330
drivers,168
able,844
use,1032
phones,914
operating,118
vehicle,139
however,132
device,35
taken,39
areas,12
irresponsible,4
dangerous,188
also,273
think,2308
vehiclestrongly,1
feel,236
texting,66
driving,566
prohibited,13
cell,632
capacity,57
motor,15
believe,1025
drivingusing,5
cellphones,45
extremely,52
others,214
around,131
many,1065
reasons,500
driver,70
s,531
desist,1
using,314
drivingspite,1
fact,86
utilizing,1
whereas,1
generally,5
perilous,1
fitting,3
gives,81
comfort,10
handling,5
crisis,1
circumstance,4
tuning,1
music,3
hands,22
free,323
following,21
courses,22
etc,13
say,273
smart,68
drivingdrivers,9
limited,51
drivingfirmly,1
need,423
stricter,2
laws,14
jail,1
people,1849
banneddriving,2
age,16
right,241
spread,2
throughout,34
nation,30
impatient,1
today,83
society,80
damaging,3
effects,32
families,3
handheld,8
couple,36
good,1088
discussion,4
obvious,11
influence,10
would,2051
agree,383
idea,1068
says,27
used,211
drivingend,1
drivestart,1
things,245
off,24
time,500
place,96
behind,33
wheelphones,1
drivinglots,1
come,151
said,59
hand,33
problemperspective,1
drivingone,1
drivingpeople,4
responsible,14
once,4
maybe,75
problem,94
nowadays,6
usage,423
cellular,20
devices,25
restricted,3
completely,56
gps,3
vehicleuse,2
taking,150
huge,41
risk,39
losing,2
life,256
someone,304
else,32
one,1216
technology1,1
6,4
million,2
crashes,9
year,42
us,351
linked,1
distraction,11
needs,101
something,256
done,53
stop,66
this,78
absolutely,15
never,82
several,51
risks,37
could,653
happen,58
way,617
drive,129
handsfree,1
banned,28
unless,55
navigational,1
get,509
destination,7
okay,16
text,52
opinion,439
drivingthough,1
may,367
seem,70
harmless,1
first,101
allowed,250
grab,3
sadly,1
choosing,47
wrong,115
they,56
re,45
holding,5
answering,3
texts,3
important,211
lives,67
wait,8
arrive,5
person,538
vehiclepeople,2
trying,106
operate,18
threatening,3
outcomes,14
aloudcellphone,1
cellphone,12
safety,63
hazard,6
lead,57
small,15
big,83
even,309
fatal,9
accidents,40
anyone,44
nearby,1
vehicleusing,2
innocent,4
excuse,3
phonegive,1
help,974
ways,186
vehiclethink,4
vehicledrivers,3
cars,1496
case,29
road,63
puts,10
harm,18
prevented,5
simple,35
creation,16
car,854
gadgets,2
simply,49
putting,21
disturb,1
shut,6
therefore,52
hold,7
well,283
not,74
dangerousphones,1
thing,330
law,25
give,161
everyone,201
roadpaying,1
attention,34
priority,2
full,24
situation,80
thus,5
reckless,4
absolute,2
restrict,1
prevent,20
transpiring,1
matter,72
seconds,5
you,97
family,24
put,108
danger,55
worse,17
away,89
wheel,26
personally,108
although,158
support,135
evidence,78
avoid,25
talking,81
direct,13
self,75
places,40
answer,66
emergency,10
calls,10
ban,16
drivingdespite,1
effective,43
communication,10
distracts,6
increasing,3
concerns,5
strongly,106
causing,12
othersusing,1
negative,82
two,72
wayssaid,1
better,990
humanity,14
complete,43
parkable,1
drivingthink,3
clear,24
cause,97
question,29
care,39
safe,117
reason,154
make,900
answerpeople,1
hazardpersonally,1
propped,1
directions,2
necessity,8
mix,6
try,100
various,25
disturbances,1
exist,11
proved,12
preventable,1
mount,1
look,75
