problem,102
becomes,9
apparent,2
selfish,2
process,43
thought,36
people,624
thinking,19
share,11
road,74
with,19
laws,23
currently,6
place,61
punish,3
making,81
poor,8
choices,9
attempt,3
keep,76
safe,60
reality,40
everyone,112
every,104
age,16
irresponsibly,1
driving,147
true,158
highly,10
unlikely,10
implausiblecould,1
lose,15
good,191
drivers,42
discount,1
however,463
talking,24
texting,22
cell,78
phones,110
simply,55
mix,2
become,55
huge,21
issue,34
past,20
years,46
always,124
solution,23
everything,51
like,353
car,276
holder,1
putting,19
gps,9
rather,72
calling,6
someone,79
hands,48
free,91
technology,93
eliminate,21
risk,39
causing,18
accident,48
may,274
make,270
worse,11
research,27
show,51
using,76
headphones,1
dangerous,47
holding,6
phone,142
conversations,3
distract,7
focusing,11
today,40
s,315
society,12
we,19
ve,21
attached,1
matter,59
multitasking,3
banned,2
law,11
that,126
sill,2
take,283
eyes,23
anytime,5
vehicle,25
motion,2
avoided,8
taking,63
precautions,2
insurance,3
maintenance,2
high,39
goodalthough,1
support,36
evidence,49
avoid,28
habits,13
create,57
hazardous,9
situations,31
collision,10
accidenttechnology,1
advanced,10
communicating,3
others,112
driver,111
uses,5
ideas,36
guideline,4
would,981
controversial,2
topic,70
now,16
devices,19
hand,44
prohibited,1
forced,21
drive,49
safely,7
desired,1
destination,10
harm,17
feel,107
responsibility,12
put,85
still,346
need,257
think,297
surroundings,5
yourself,8
contrast,3
allow,49
get,387
distracted,33
increase,16
chances,12
getting,65
well,156
many,299
life,179
great,70
tool,5
also,299
deadly,3
one,316
use,168
conducted,3
person,120
operating,9
order,35
cut,4
distraction,15
cause,79
something,190
used,42
start,40
speaker,1
hear,6
directions,8
quickly,6
stop,42
side,32
safer,29
checking,3
emergency,13
giving,40
full,16
attention,59
half,21
even,302
worsen,9
suggesting,8
behavior,9
illusion,9
safety,34
either,43
can,75
t,96
find,85
reach,13
stuck,12
guilty,1
procrastinator,1
this,52
class,167
understand,77
argument,32
late,13
work,295
school,543
home,202
what,26
killing,2
paying,18
require,23
mode,4
navigation,2
systems,11
listen,14
music,5
passengers,5
watch,16
movies,4
solutions,7
distractionpeople,1
earphones,1
exist,14
help,303
answer,28
course,26
wait,19
important,78
pull,11
instead,62
simple,25
call,35
sides,6
valid,24
arguments,9
increased,5
major,18
carriers,2
company,7
apple,2
inc,1
creating,15
features,6
voice,8
activated,1
disturb,3
disable,1
minimize,2
possibility,11
anything,58
related,4
occurring,4
example,37
soon,13
look,77
boom,1
crash,11
hurt,25
prevent,21
text,35
real,49
is,43
although,100
though,109
stuff,22
going,183
speed,7
limit,14
lives,32
fast,8
drivingtechnology,1
wrong,136
ourselves,2
around,81
us,139
again,31
misusing,1
cellphones,6
essentially,4
job,45
done,75
opinion,48
way,244
could,421
paid,6
ticket,3
bad,87
actual,15
friend,16
let,55
know,266
left,15
house,15
made,87
reason,75
broken,4
anyone,22
following,8
right,99
time,412
multiple,22
ways,56
include,10
lighting,1
cigarette,1
smoking,1
eating,3
drinking,1
